bench/sim_s2.gds DL
, comp_id: 5, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 4082, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 4144, sub_comp_id: 1,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 4161, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 4166, sub_comp_id: 5,num_vertices(sg) 7, obj_value: 2
, comp_id: 4217, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 4249, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 4388, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 4430, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 4526, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 4664, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 4676, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 4786, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 4792, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 4952, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 5031, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 5122, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 5125, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
