bench/sim_s3.gds DL
, comp_id: 39, sub_comp_id: 5,num_vertices(sg) 9, obj_value: 2
, comp_id: 5588, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 1
, comp_id: 5732, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 6230, sub_comp_id: 4,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 6258, sub_comp_id: 11,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 6791, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 3
, comp_id: 6991, sub_comp_id: 11,num_vertices(sg) 34, obj_value: 0.2
, comp_id: 7031, sub_comp_id: 1,num_vertices(sg) 8, obj_value: 2
, comp_id: 7444, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 7553, sub_comp_id: 3,num_vertices(sg) 29, obj_value: 0.1
, comp_id: 7830, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 1
, comp_id: 7855, sub_comp_id: 2,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 7920, sub_comp_id: 10,num_vertices(sg) 8, obj_value: 2
, comp_id: 7976, sub_comp_id: 5,num_vertices(sg) 14, obj_value: 5
, comp_id: 7979, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 1
, comp_id: 8544, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 8822, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 8858, sub_comp_id: 0,num_vertices(sg) 25, obj_value: 0.1
, comp_id: 9082, sub_comp_id: 5,num_vertices(sg) 14, obj_value: 2.1
, comp_id: 9082, sub_comp_id: 11,num_vertices(sg) 18, obj_value: 0.1
, comp_id: 9083, sub_comp_id: 1,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 9120, sub_comp_id: 1,num_vertices(sg) 8, obj_value: 2
, comp_id: 9529, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 9563, sub_comp_id: 5,num_vertices(sg) 17, obj_value: 3
, comp_id: 9843, sub_comp_id: 4,num_vertices(sg) 23, obj_value: 4
, comp_id: 9963, sub_comp_id: 2,num_vertices(sg) 18, obj_value: 0.1
, comp_id: 9977, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 10189, sub_comp_id: 0,num_vertices(sg) 22, obj_value: 0.1
, comp_id: 10504, sub_comp_id: 0,num_vertices(sg) 19, obj_value: 1
, comp_id: 10799, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 10878, sub_comp_id: 1,num_vertices(sg) 7, obj_value: 1
, comp_id: 11021, sub_comp_id: 4,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 11320, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 11370, sub_comp_id: 1,num_vertices(sg) 19, obj_value: 1
, comp_id: 11930, sub_comp_id: 4,num_vertices(sg) 20, obj_value: 1
, comp_id: 12341, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 12504, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 12645, sub_comp_id: 5,num_vertices(sg) 28, obj_value: 0.1
, comp_id: 13091, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 1
, comp_id: 13339, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 1
, comp_id: 13714, sub_comp_id: 12,num_vertices(sg) 8, obj_value: 2
, comp_id: 13958, sub_comp_id: 4,num_vertices(sg) 19, obj_value: 1
, comp_id: 14097, sub_comp_id: 5,num_vertices(sg) 9, obj_value: 1
, comp_id: 14192, sub_comp_id: 0,num_vertices(sg) 18, obj_value: 0.1
, comp_id: 14270, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 1
, comp_id: 14310, sub_comp_id: 7,num_vertices(sg) 8, obj_value: 3
, comp_id: 14326, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 14468, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 14642, sub_comp_id: 1,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 14740, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 14874, sub_comp_id: 5,num_vertices(sg) 7, obj_value: 1
, comp_id: 15064, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 15113, sub_comp_id: 5,num_vertices(sg) 26, obj_value: 5.1
, comp_id: 15289, sub_comp_id: 4,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 15427, sub_comp_id: 4,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 15427, sub_comp_id: 6,num_vertices(sg) 8, obj_value: 1
